iter	Passed	Remaining
0	1	520
1	3	517
2	6	600
3	8	612
4	10	596
5	12	590
6	13	580
7	15	566
8	17	551
9	19	558
10	21	553
11	22	545
12	24	542
13	26	541
14	28	535
15	29	530
16	32	532
17	33	531
18	35	527
19	37	524
20	39	525
21	41	519
22	42	514
23	44	513
24	46	513
25	48	508
26	50	505
27	51	503
28	53	502
29	55	498
30	57	494
31	58	493
32	60	490
33	62	487
34	64	484
35	65	483
36	67	481
37	69	477
38	71	475
39	72	473
40	74	471
41	76	468
42	78	466
43	79	464
44	81	461
45	83	458
46	84	457
47	86	455
48	88	452
49	89	448
50	91	448
51	94	448
52	95	446
53	97	443
54	99	442
55	100	439
56	102	437
57	104	435
58	106	433
59	108	432
60	109	429
61	111	429
62	113	428
63	115	426
64	117	424
65	119	424
66	121	422
67	123	420
68	125	419
69	127	418
70	129	416
71	130	413
72	132	412
73	134	410
74	136	408
75	137	406
76	140	405
77	141	403
78	143	401
79	145	400
80	147	399
81	149	397
82	151	394
83	153	393
84	154	391
85	156	389
86	158	387
87	160	385
88	161	383
89	163	381
90	165	379
91	167	377
92	168	375
93	170	373
94	172	371
95	174	370
96	175	367
97	177	365
98	179	364
99	181	362
100	183	360
101	184	358
102	186	357
103	188	355
104	190	353
105	192	352
106	194	350
107	196	348
108	197	346
109	199	345
110	201	343
111	203	341
112	204	339
113	206	337
114	208	335
115	210	333
116	212	332
117	214	330
118	216	328
119	218	327
120	220	326
121	222	324
122	224	323
123	226	322
124	228	320
125	230	318
126	232	317
127	234	315
128	236	313
129	238	311
130	240	309
131	241	307
132	243	305
133	245	304
134	247	302
135	249	301
136	251	299
137	253	297
138	255	295
139	257	294
140	259	292
141	261	290
142	263	288
143	265	287
144	267	285
145	268	283
146	270	281
147	272	279
148	274	278
149	276	276
150	278	274
151	280	272
152	282	270
153	283	269
154	285	267
155	287	265
156	289	263
157	290	261
158	292	259
159	294	257
160	296	255
161	298	253
162	300	252
163	301	250
164	303	248
165	305	246
166	307	244
167	309	242
168	310	240
169	312	239
170	314	237
171	316	235
172	318	233
173	320	231
174	322	230
175	324	228
176	326	226
177	328	224
178	329	223
179	331	221
180	333	219
181	335	217
182	337	215
183	339	213
184	341	212
185	343	210
186	344	208
187	346	206
188	348	204
189	350	202
190	352	201
191	354	199
192	356	197
193	358	195
194	360	193
195	361	192
196	363	190
197	365	188
198	367	186
199	369	184
200	370	182
201	372	180
202	374	179
203	376	177
204	377	175
205	379	173
206	381	171
207	383	169
208	385	167
209	387	166
210	389	164
211	391	162
212	392	160
213	394	158
214	396	156
215	398	154
216	400	153
217	402	151
218	404	149
219	406	147
220	408	146
221	410	144
222	412	142
223	414	140
224	416	138
225	418	136
226	420	135
227	422	133
228	423	131
229	425	129
230	427	127
231	429	125
232	431	123
233	432	122
234	434	120
235	436	118
236	438	116
237	440	114
238	442	112
239	444	111
240	445	109
241	447	107
242	449	105
243	452	103
244	454	102
245	457	100
246	459	98
247	461	96
248	463	94
249	465	93
250	468	91
251	470	89
252	472	87
253	474	85
254	476	84
255	478	82
256	481	80
257	483	78
258	485	76
259	487	75
260	489	73
261	491	71
262	493	69
263	496	67
264	497	65
265	499	63
266	502	62
267	504	60
268	506	58
269	508	56
270	511	54
271	513	52
272	515	50
273	517	49
274	519	47
275	521	45
276	523	43
277	525	41
278	528	39
279	530	37
280	532	36
281	535	34
282	537	32
283	540	30
284	542	28
285	545	26
286	547	24
287	549	22
288	551	20
289	553	19
290	555	17
291	557	15
292	559	13
293	561	11
294	563	9
295	565	7
296	567	5
297	569	3
298	571	1
299	572	0
